,LONGITUD,LATITUD,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,SEMAFORO,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
910,-101.76656,19.90702,6.0,2,43.0,4,9.0,1,4.0,1,2.0,1,,0,,0,92.3,1,91.2,1,9.0,5,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
911,-101.76713,19.90735,7.0,3,41.0,4,9.0,1,2.0,1,2.0,1,,0,,0,88.5,1,9.0,5,9.0,5,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,LENTICO
912,-101.75155,19.93211,6.0,2,31.0,3,23.0,1,11000.0,5,280.0,2,,0,9.0,5,,0,,0,,0,0.0,1,0.0,1,,0,,0,2.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,LOTICO
913,-101.61774,19.67497,29.0,3,133.0,4,22.0,1,39.0,1,39.0,1,,0,,0,91.4,1,,0,71.7,1,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
914,-101.60502,19.68046,25.0,3,90.0,4,26.0,2,4.0,1,4.0,1,,0,,0,108.7,1,,0,77.7,1,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
915,-101.60831,19.63981,16.0,3,135.0,4,38.0,2,93.0,1,93.0,1,,0,,0,87.5,1,70.2,1,69.0,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
916,-101.58716,19.6383,24.0,3,120.0,4,40.0,2,93.0,1,11.0,1,,0,,0,96.0,1,,0,66.1,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
917,-101.57868,19.64727,26.0,3,139.0,4,20.0,1,4.0,1,4.0,1,,0,,0,88.8,1,75.6,1,56.7,2,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
918,-101.55167,19.6512,26.0,3,118.0,4,48.0,2,1100.0,4,460.0,2,,0,,0,40.4,3,,0,32.8,3,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,LENTICO
919,-101.58576,19.66582,23.0,3,129.0,4,24.0,1,43.0,1,23.0,1,,0,,0,73.3,1,64.7,2,48.6,3,,0,,0,0.0,1,0.0,1,3.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,LENTICO
